created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Nov 12 23:59:56 +0000 2023;1723853165404242239;"@JamalBoegis inshaa allah, harapan kita sama, Anies menang satu putaran, aamiin Yaa Robb 🤲   berat kondisi hari² depan krn pa lurah sdh mli kelihatan "cawe-cawe" nya.  hal itu sengaja "Tuhan" diamkan sesaat spy puncak kecurangan nya jelas nyata, setelah itu Allah hancurkan sejadi² nya!! https://t.co/O4AduwB1st";0;0;0;1;in;374002526;1723712535290146968;iccasarifien;https://twitter.com/iccasarifien/status/1723853165404242239
Sun Nov 12 23:59:45 +0000 2023;1723853119371522201;"@KMielva @ekokuntadhi1 Carilah ada kok di yt... Itu forum di CSIS yg pak Anies jg hadir disitu...";0;1;0;1;in;1622821209535836160;1721906114596630685;ElizarIrnold;https://twitter.com/ElizarIrnold/status/1723853119371522201
Sun Nov 12 23:59:17 +0000 2023;1723852999879995741;"habis doa Amin wajib menang amin amin menang Indonesia Senang  @aniesbaswedan @cakimiNOW https://t.co/KotaRQQofG";4;3;133;366;in;1493158746205614080;1723852999879995741;LANGKAHANIES;https://twitter.com/LANGKAHANIES/status/1723852999879995741
Sun Nov 12 23:58:44 +0000 2023;1723852863271571741;"@Papa_Brewook Tapi faktanya emang masyarakat di pedesaan tidak kenal siapa mas anies ..masih mending cak imin masih ada sebagian yang kenal...tapi yaa gitu deh...NU banyak dukung PKB tapi blm tentu mendukung cak imin...";0;5;1;8;in;1152707809689010176;1723846844571341012;mbahjhojho;https://twitter.com/mbahjhojho/status/1723852863271571741
Sun Nov 12 23:58:22 +0000 2023;1723852770090861035;"@BosPurwa @aniesbaswedan Pak Anies ini kl ksh gagasan kaya mmg udh direncanakan matang2 dan tau bagaimana implementasi nya. Kl emg insyaAllah terpilih nnti optimis SDM Indonesia lbh maju";0;1;1;3;in;419396075;1723681552545276306;YogaBagas;https://twitter.com/YogaBagas/status/1723852770090861035
Sun Nov 12 23:57:53 +0000 2023;1723852648150131086;"@PDemokrat semangat selalu pasangan Anies-Amin yang paling terdepan membela palestina";0;0;0;0;in;1711537631253970944;1723628278341325158;lanzeltaro;https://twitter.com/lanzeltaro/status/1723852648150131086
Sun Nov 12 23:57:01 +0000 2023;1723852428863328352;"@Hasbil_Lbs Didaerah  saya kader demokrat yg pajang foto Anies...";0;0;0;0;in;1392069349830062089;1723636627019633082;Mudafa29;https://twitter.com/Mudafa29/status/1723852428863328352
Sun Nov 12 23:56:48 +0000 2023;1723852374647701760;"@mediaindonesia mantap sekali memang pak Anies yang terbaik menjadi pemimpin jujur";0;0;0;0;in;1711459340530704387;1723314647896563940;zentomade;https://twitter.com/zentomade/status/1723852374647701760
Sun Nov 12 23:56:40 +0000 2023;1723852340757971240;"@DrEliDavid Nice Film  https://t.co/L9XU1AH9BF";0;0;1;1;pl;164778726;1723732779228139648;dusrimulya;https://twitter.com/dusrimulya/status/1723852340757971240
Sun Nov 12 23:56:21 +0000 2023;1723852260931940418;"@PDemokrat semangat selalu bersama Anies - Muhaimin kita semua membantu memenangkan palestina merdeka";0;0;0;0;in;1711459340530704387;1723628278341325158;zentomade;https://twitter.com/zentomade/status/1723852260931940418
Sun Nov 12 23:55:49 +0000 2023;1723852127490257389;"@mediaindonesia pak Anies-Muhaimin memang sudah dicap pemimpin yang sangat jujur";0;0;0;0;in;1711459343097630720;1723314647896563940;laktoba;https://twitter.com/laktoba/status/1723852127490257389
Sun Nov 12 23:55:45 +0000 2023;1723852110058705115;"@hasyimmah Saya lebih mengerti penjelasan Anies Baswedan daripada tulisan anda yg memang niatnya mau memprovokasi orang2 yang malas membaca sehingga bisa memvonis orang dengan penggalan screenshot berita.";0;0;0;0;in;1603706561821827073;1723521571766337629;TaufikWaha1;https://twitter.com/TaufikWaha1/status/1723852110058705115
Sun Nov 12 23:55:27 +0000 2023;1723852033277431984;"@PDemokrat mantap memang pak Anies-Muhaimin selalu jadi yang utama membela palestina merdeka";0;0;0;0;in;1711459343097630720;1723628278341325158;laktoba;https://twitter.com/laktoba/status/1723852033277431984
Sun Nov 12 23:54:53 +0000 2023;1723851891707408614;"@Anonymo02380092 @Bang_San77 @tvOneNews @KompasTV @Metro_TV @MataNajwa Ayo kalahkan bro... Koalisi Anies dan Ganjar buat kesepakatan. Siapa yang bisa maju ke putaran dua saling dukung.";0;0;0;0;in;2232083622;1723568807317577748;sarphanjamain1;https://twitter.com/sarphanjamain1/status/1723851891707408614
Sun Nov 12 23:54:52 +0000 2023;1723851889677090854;"@mediaindonesia semangat selalu pak Anies menjadi pemimpin indonesia";0;0;0;0;in;1711459337707937793;1723314647896563940;strafull2;https://twitter.com/strafull2/status/1723851889677090854
Sun Nov 12 23:53:56 +0000 2023;1723851651641917838;"@maquialifraco Xq sería el Kirchnerismo? Q la justicia actúe como debe! #MileiNo #AhoraEsMassa #MassaPresidente";0;1;1;0;es;843653149080653824;1723755616538152963;inesare1;https://twitter.com/inesare1/status/1723851651641917838
Sun Nov 12 23:53:17 +0000 2023;1723851488819343523;"@PDemokrat ayo semangat membela palestina bersama Anies-Muhaimin";0;0;0;0;in;1711456951719387138;1723628278341325158;shualfe;https://twitter.com/shualfe/status/1723851488819343523
Sun Nov 12 23:52:45 +0000 2023;1723851357596311714;"@mediaindonesia Anies-Muhaimin memang yang terbaik untuk menjadi pemimpin jujur";0;0;0;0;in;1711456950532399104;1723314647896563940;zkalfin;https://twitter.com/zkalfin/status/1723851357596311714
Sun Nov 12 23:51:59 +0000 2023;1723851163986968715;"@inakiigutierrez No vale cualquier cosa con tal de ganar, #MileiNo #AhoraEsMassa #MassaPresidente2023";0;0;0;1;es;843653149080653824;1723828774993600566;inesare1;https://twitter.com/inesare1/status/1723851163986968715
Sun Nov 12 23:51:28 +0000 2023;1723851033019859186;"@henrysubiakto Biasalah..prof. Kemarin2x kader partai Demokrat sering nyerang JKW dan Pemerintah, skg mereka diam duduk manis setelah ada di kubu Prabowo. Jd tergantung SIKON..lah 🙏🙏🙏";0;1;0;2;in;1218988439514693633;1723611933608395011;tukangaduayam;https://twitter.com/tukangaduayam/status/1723851033019859186
Sun Nov 12 23:51:21 +0000 2023;1723851004376907999;"https://t.co/DLRyXqGBCT";0;0;0;0;zxx;1656457896895602688;1723851004376907999;sri08054;https://twitter.com/sri08054/status/1723851004376907999
Sun Nov 12 23:51:16 +0000 2023;1723850984127111318;"@DoankWarto Identitas pak Anies : 1. Cucu pahlawan nasional 2. Ayah ibu nya seorang pendidik yg sdh menghasilkan ribuan sarjana di Indonesia. 3. Pendidikan pak Anies jgn tanya deh. 4. Hasil karya pak nyata bukan kaleng2 5. Toleransi pak Anies saat pimpin DKI sangat luar biasa. 5 👍utk ARB.";0;0;0;0;in;1184051944848945152;1723611340382904471;EnasRonnie;https://twitter.com/EnasRonnie/status/1723850984127111318
Sun Nov 12 23:51:00 +0000 2023;1723850914627514757;"@PartaiSocmed Kok sepertinya lebih bagus Anies ya dibanding gagasan prabowo, jadi bingung 🤔";0;1;0;0;in;1663007372682620929;1723731517040382282;yussssaaa;https://twitter.com/yussssaaa/status/1723850914627514757
Sun Nov 12 23:50:58 +0000 2023;1723850908394475536;"@mediaindonesia semangat terus kita semua bersama Pak Anies dengan kecerdasannya untuk memimpin";0;0;0;0;in;1711837747709878272;1723314647896563940;sentripa;https://twitter.com/sentripa/status/1723850908394475536
Sun Nov 12 23:50:58 +0000 2023;1723850906611876112;"@VIVAcoid lah jadi ini ceritanya anies dan ganjar lagi rebutan ibu susi buat pencitraan mereka berdua?";0;1;0;0;in;1928313427;1723676535172010288;joooori0111;https://twitter.com/joooori0111/status/1723850906611876112
Sun Nov 12 23:50:48 +0000 2023;1723850865902231728;"@ekokusumawijaya @awemany Hebatnya JKW adalah bisa membuat pemilih Anies memilih calon PDIP. Politikus hebat.";0;1;0;0;in;77713028;1723520830238491080;Imertomo;https://twitter.com/Imertomo/status/1723850865902231728
Sun Nov 12 23:50:23 +0000 2023;1723850759601574260;"@Dennysiregar7 Kenapa sih Den.. GAMA kok semakin blingsatan gitu.. Lihat tuh Anies n Prabowo anteng2 aja.. 😂😂";0;0;0;0;in;1281772566680494080;1723577818225983718;willyriawan1;https://twitter.com/willyriawan1/status/1723850759601574260
Sun Nov 12 23:50:16 +0000 2023;1723850732565299238;"@_melody_mellow Anies Baswedan kualitasnya sudah global dan terbiasa berkomunikasi dalam bahasa Inggeris nggak macet macet dijalan🤣🤣🤣";0;0;0;1;in;3253336472;1578888110577881088;Budiady5;https://twitter.com/Budiady5/status/1723850732565299238
Sun Nov 12 23:49:42 +0000 2023;1723850587194744948;"@geloraco ngak ngaruh dan tidak menguntungkan bagi anies juga.";0;0;0;0;in;1928313427;1723612559922925741;joooori0111;https://twitter.com/joooori0111/status/1723850587194744948
